Date,Price,Open,High,Low,Vol.,Change %
2023-03-19,"2,933.67","2,936.18","2,933.27","2,924.61",675.46K,
2023-03-20,"3,116.25","3,120.03","3,126.48","3,110.99",362.93K,
2023-03-21,"3,247.02","3,253.70","3,260.07","3,239.98",522.01K,
2023-03-22,"3,323.05","3,314.92","3,324.95","3,315.61",208.87K,
2023-03-23,"3,220.09","3,220.22","3,224.86","3,215.05",362.35K,
2023-03-24,"3,339.04","3,340.36","3,346.49","3,331.42",828.82K,
2023-03-25,"3,039.38","3,033.69","3,043.63","3,032.70",703.59K,
2023-03-26,"3,451.68","3,447.15","3,464.06","3,442.06",191.59K,
2023-03-26,"3,385.93","3,384.77","3,387.01","3,378.47",872.11K,
2023-03-28,"3,392.59","3,387.07","3,398.32","3,383.94",902.23K,
2023-03-29,"3,172.21","3,172.33","3,170.94","3,165.59",320.55K,
2023-03-30,"3,407.37","3,416.43","3,403.49","3,397.63",948.24K,
2023-03-31,"2,883.55","2,884.13","2,888.26","2,875.99",531.54K,
2023-04-01,"3,442.44","3,439.89","3,440.52","3,432.77",463.68K,
2023-04-02,"2,936.64","2,930.57","2,941.95","2,926.90",517.66K,
2023-04-03,"3,394.30","3,385.91","3,398.10","3,386.77",459.43K,
2023-04-04,"3,473.08","3,472.12","3,480.99","3,464.47",858.08K,
2023-04-05,"2,977.53","2,984.14","2,987.66","2,969.22",509.59K,
2023-04-06,"2,930.98","2,930.95","2,944.09","2,922.27",916.42K,
2023-04-06,"3,415.70","3,421.57","3,421.02","3,407.38",52.34K,
2023-04-08,"3,000.44","2,991.51","3,000.24","2,994.80",120.54K,
2023-04-09,"2,926.42","2,928.57","2,934.56","2,919.08",950.54K,
2023-04-10,"3,437.33","3,430.60","3,448.79","3,431.11",126.26K,
2023-04-11,"2,924.51","2,921.34","2,934.59","2,916.40",349.08K,
2023-04-12,"3,108.58","3,110.94","3,121.03","3,098.80",520.86K,
2023-04-13,"3,068.97","3,072.11","3,066.99","3,063.14",577.68K,
2023-04-14,"3,001.36","2,999.63","3,008.07","2,992.64",607.92K,
2023-04-15,"3,290.29","3,291.25","3,289.33","3,285.16",768.57K,
2023-04-16,"3,117.12","3,112.31","3,127.78","3,108.78",824.79K,
2023-04-16,"2,985.31","2,980.14","2,985.75","2,978.80",1.44K,
2023-04-18,"2,980.46","2,976.49","2,981.20","2,973.15",752.32K,
2023-04-19,"3,414.58","3,421.61","3,423.43","3,408.02",917.19K,
2023-04-20,"3,313.60","3,317.22","3,326.25","3,306.48",665.30K,
2023-04-21,"2,976.90","2,978.85","2,975.32","2,966.92",756.60K,
2023-04-22,"2,923.31","2,922.02","2,934.85","2,915.02",612.35K,
2023-04-23,"2,973.81","2,964.87","2,981.03","2,967.00",202.02K,
2023-04-24,"3,013.36","3,008.83","3,011.14","3,003.99",928.24K,
2023-04-25,"3,186.65","3,194.17","3,196.80","3,180.96",712.25K,
2023-04-26,"3,422.43","3,413.33","3,430.21","3,415.42",54.18K,
2023-04-26,"3,461.52","3,468.02","3,467.36","3,455.43",682.48K,
2023-04-28,"3,092.50","3,095.70","3,092.31","3,085.29",2.66K,
2023-04-29,"3,127.73","3,122.20","3,124.46","3,118.13",199.27K,
2023-04-30,"2,933.39","2,940.85","2,942.76","2,928.22",509.36K,
2023-05-01,"3,269.15","3,269.42","3,277.88","3,260.94",16.51K,
2023-05-02,"2,953.09","2,948.50","2,966.21","2,943.99",603.44K,
2023-05-03,"3,228.25","3,237.23","3,232.46","3,220.96",283.48K,
2023-05-04,"3,483.91","3,488.73","3,495.46","3,475.10",515.93K,
2023-05-05,"2,886.70","2,883.34","2,897.75","2,880.23",626.71K,
2023-05-06,"3,388.16","3,389.99","3,391.79","3,378.74",615.87K,
2023-05-06,"3,107.17","3,105.76","3,116.93","3,100.52",862.03K,
2023-05-08,"3,419.81","3,427.96","3,417.53","3,411.50",716.00K,
2023-05-09,"3,318.17","3,311.58","3,328.55","3,312.66",353.52K,
2023-05-10,"3,345.41","3,354.36","3,340.86","3,339.45",761.21K,
2023-05-11,"3,372.51","3,381.52","3,384.12","3,366.43",919.39K,
2023-05-12,"3,243.40","3,249.57","3,249.51","3,233.86",818.23K,
2023-05-13,"3,475.85","3,467.41","3,477.26","3,466.31",902.88K,
2023-05-14,"3,020.79","3,021.35","3,028.08","3,012.80",658.72K,
2023-05-15,"3,027.28","3,021.27","3,026.86","3,017.84",710.96K,
2023-05-16,"2,992.04","2,986.66","3,005.75","2,985.36",45.08K,
2023-05-16,"3,172.27","3,164.27","3,177.58","3,166.15",531.98K,
2023-05-18,"3,260.75","3,256.64","3,267.64","3,251.36",202.89K,
2023-05-19,"3,052.85","3,060.96","3,057.94","3,046.02",381.25K,
2023-05-20,"3,413.70","3,411.91","3,416.57","3,407.30",301.98K,
2023-05-21,"2,904.69","2,909.69","2,901.71","2,895.96",802.54K,
2023-05-22,"3,064.97","3,055.82","3,065.66","3,059.58",947.28K,
2023-05-23,"2,932.44","2,934.62","2,933.15","2,923.24",513.31K,
2023-05-24,"3,261.06","3,262.15","3,266.11","3,251.08",565.35K,
2023-05-25,"3,168.30","3,169.76","3,167.04","3,159.04",806.73K,
2023-05-26,"3,472.34","3,482.13","3,471.77","3,465.73",767.08K,
2023-05-26,"3,270.89","3,269.69","3,282.88","3,265.84",185.15K,
2023-05-28,"3,485.21","3,483.36","3,489.63","3,477.62",182.30K,
2023-05-29,"3,361.30","3,354.16","3,360.86","3,353.71",520.23K,
2023-05-30,"3,481.43","3,473.61","3,487.36","3,475.76",91.93K,
2023-05-31,"2,981.07","2,973.80","2,977.01","2,974.38",947.02K,
2023-06-01,"3,356.09","3,356.66","3,357.68","3,350.33",728.04K,
2023-06-02,"3,350.51","3,350.89","3,354.21","3,342.54",806.42K,
2023-06-03,"3,304.76","3,304.27","3,311.16","3,297.45",728.97K,
2023-06-04,"3,137.25","3,130.96","3,152.08","3,128.53",289.10K,
2023-06-05,"3,322.43","3,322.56","3,329.56","3,313.69",597.10K,
2023-06-06,"3,321.75","3,317.84","3,336.13","3,312.84",603.16K,
2023-06-06,"3,125.80","3,123.75","3,135.54","3,118.53",318.32K,
2023-06-08,"3,430.35","3,431.89","3,433.36","3,421.41",159.37K,
2023-06-09,"2,993.82","2,994.69","3,003.06","2,987.18",156.26K,
2023-06-10,"3,376.50","3,384.66","3,380.45","3,371.26",600.36K,
2023-06-11,"3,427.49","3,427.65","3,435.97","3,419.90",124.74K,
2023-06-12,"3,026.49","3,017.24","3,032.24","3,018.71",583.04K,
2023-06-13,"3,022.76","3,015.90","3,037.74","3,013.51",770.99K,
2023-06-14,"3,002.51","3,005.68","3,002.41","2,996.89",893.52K,
2023-06-15,"3,080.74","3,085.85","3,085.69","3,071.34",983.14K,
2023-06-16,"2,985.79","2,979.44","2,997.01","2,979.78",999.11K,
2023-06-16,"2,939.71","2,944.21","2,950.42","2,933.77",169.67K,
2023-06-18,"2,964.19","2,956.35","2,972.54","2,956.66",226.94K,
2023-06-19,"3,487.29","3,486.16","3,491.84","3,477.98",560.39K,
2023-06-20,"3,000.83","3,001.45","3,004.07","2,991.61",365.06K,
2023-06-21,"2,959.08","2,954.15","2,965.18","2,949.76",148.93K,
2023-06-22,"3,382.97","3,377.13","3,394.76","3,374.68",343.02K,
2023-06-23,"3,425.37","3,422.36","3,430.70","3,417.26",160.81K,
2023-06-24,"3,147.80","3,152.85","3,151.03","3,142.38",5.10K,
2023-06-25,"3,112.36","3,109.85","3,126.59","3,106.44",316.21K,
2023-06-26,"2,890.28","2,899.54","2,887.12","2,883.87",594.34K,
2023-06-26,"3,117.79","3,116.85","3,124.26","3,111.55",937.23K,
2023-06-28,"3,249.75","3,250.75","3,264.17","3,242.18",324.02K,
2023-06-29,"3,252.28","3,258.66","3,254.80","3,244.80",952.38K,
2023-06-30,"3,188.68","3,194.63","3,195.80","3,180.03",859.20K,
2023-07-01,"3,194.83","3,192.32","3,193.11","3,187.25",631.83K,
2023-07-02,"3,075.92","3,080.90","3,082.79","3,066.70",209.10K,
2023-07-03,"3,296.22","3,302.70","3,306.64","3,286.48",53.33K,
2023-07-04,"2,905.98","2,897.67","2,916.45","2,897.53",38.61K,
2023-07-05,"3,135.26","3,133.44","3,142.18","3,127.55",425.74K,
2023-07-06,"3,242.54","3,248.25","3,238.39","3,234.87",527.98K,
2023-07-06,"3,299.87","3,302.37","3,300.31","3,292.03",677.63K,
2023-07-08,"3,012.56","3,020.91","3,011.34","3,002.57",227.40K,
2023-07-09,"2,933.34","2,935.22","2,945.45","2,923.84",690.33K,
2023-07-10,"3,312.19","3,306.63","3,316.52","3,305.77",193.06K,
2023-07-11,"3,328.00","3,333.62","3,342.89","3,319.95",886.46K,
2023-07-12,"3,255.70","3,259.19","3,267.82","3,247.75",225.57K,
2023-07-13,"3,171.49","3,167.74","3,173.58","3,164.82",309.37K,
2023-07-14,"3,231.76","3,239.11","3,227.91","3,224.30",339.11K,
2023-07-15,"2,903.15","2,896.69","2,901.13","2,897.87",228.62K,
2023-07-16,"3,350.76","3,357.02","3,354.17","3,340.92",895.09K,
2023-07-16,"3,082.23","3,089.46","3,093.58","3,073.94",640.91K,
2023-07-18,"3,201.18","3,198.30","3,208.78","3,195.40",220.87K,
2023-07-19,"3,458.49","3,468.42","3,459.39","3,453.05",445.47K,
2023-07-20,"3,043.76","3,053.73","3,055.35","3,034.45",39.72K,
2023-07-21,"3,311.13","3,314.77","3,306.13","3,301.81",63.59K,
2023-07-22,"2,903.41","2,898.84","2,898.79","2,893.96",810.76K,
2023-07-23,"3,106.01","3,097.50","3,103.18","3,100.40",417.53K,
2023-07-24,"2,931.71","2,928.26","2,945.71","2,925.76",456.05K,
2023-07-25,"2,925.87","2,932.89","2,926.04","2,917.64",892.96K,
2023-07-26,"3,048.33","3,054.23","3,059.09","3,039.48",794.93K,
2023-07-26,"3,253.41","3,249.54","3,261.40","3,246.92",960.13K,
2023-07-28,"3,187.14","3,182.49","3,191.04","3,180.52",49.70K,
2023-07-29,"3,479.53","3,479.16","3,479.55","3,472.19",237.14K,
2023-07-30,"3,200.92","3,194.50","3,212.07","3,195.06",811.39K,
2023-07-31,"3,444.03","3,439.06","3,450.48","3,437.82",290.21K,
2023-08-01,"3,142.61","3,149.14","3,153.22","3,136.28",393.15K,
2023-08-02,"3,467.49","3,459.11","3,474.84","3,461.70",528.97K,
2023-08-03,"3,286.53","3,295.06","3,291.74","3,279.41",896.95K,
2023-08-04,"2,951.37","2,945.45","2,950.88","2,941.82",502.56K,
2023-08-05,"3,363.36","3,354.72","3,377.32","3,353.49",336.50K,
2023-08-06,"3,347.16","3,339.38","3,349.29","3,340.19",349.43K,
2023-08-06,"3,004.31","3,007.95","3,001.09","2,996.56",537.40K,
2023-08-08,"2,961.88","2,967.98","2,964.09","2,955.11",274.74K,
2023-08-09,"3,272.15","3,271.08","3,286.37","3,265.44",187.97K,
2023-08-10,"3,203.99","3,209.97","3,204.64","3,194.13",303.42K,
2023-08-11,"3,377.73","3,377.12","3,386.40","3,371.84",240.09K,
2023-08-12,"3,454.53","3,460.56","3,453.97","3,447.43",56.86K,
2023-08-13,"3,368.43","3,377.70","3,366.33","3,360.83",576.23K,
2023-08-14,"3,479.44","3,471.26","3,479.64","3,473.82",910.79K,
2023-08-15,"2,905.35","2,909.45","2,908.42","2,898.13",423.66K,
2023-08-16,"2,875.56","2,872.63","2,888.96","2,866.72",404.90K,
2023-08-16,"3,330.70","3,327.29","3,343.12","3,322.12",397.57K,
2023-08-18,"3,211.63","3,205.96","3,226.35","3,203.13",534.75K,
2023-08-19,"2,883.82","2,874.04","2,892.29","2,873.91",968.71K,
2023-08-20,"3,067.04","3,062.15","3,064.84","3,060.42",558.11K,
2023-08-21,"3,356.94","3,359.81","3,356.39","3,349.13",527.29K,
2023-08-22,"3,329.26","3,328.96","3,332.46","3,324.04",743.53K,
2023-08-23,"3,427.64","3,428.21","3,423.64","3,420.45",622.69K,
2023-08-24,"3,391.61","3,399.30","3,391.89","3,381.69",542.00K,
2023-08-25,"3,479.89","3,473.31","3,484.14","3,470.35",64.41K,
2023-08-26,"3,483.31","3,491.55","3,489.32","3,477.61",624.92K,
2023-08-26,"3,030.22","3,023.92","3,043.12","3,024.42",640.48K,
2023-08-28,"3,407.55","3,404.07","3,407.71","3,398.49",605.10K,
2023-08-29,"3,031.81","3,027.75","3,038.54","3,026.74",318.67K,
2023-08-30,"3,042.62","3,035.46","3,038.64","3,033.73",111.36K,
2023-08-31,"2,977.46","2,970.14","2,983.81","2,968.91",814.61K,
2023-09-01,"3,035.96","3,038.35","3,037.87","3,027.34",76.26K,
2023-09-02,"3,412.37","3,421.33","3,421.65","3,404.48",722.87K,
2023-09-03,"3,210.99","3,219.68","3,223.26","3,202.94",833.35K,
2023-09-04,"2,961.50","2,954.78","2,957.89","2,955.78",563.44K,
2023-09-05,"3,264.50","3,273.98","3,277.67","3,258.25",504.58K,
2023-09-06,"3,211.31","3,217.76","3,215.26","3,202.27",941.42K,
2023-09-06,"3,457.34","3,457.90","3,458.63","3,449.04",991.88K,
2023-09-08,"2,893.01","2,894.51","2,903.83","2,886.83",102.09K,
2023-09-09,"3,171.82","3,169.07","3,172.88","3,162.45",222.58K,
2023-09-10,"2,882.82","2,885.61","2,895.61","2,874.39",325.24K,
2023-09-11,"3,158.64","3,166.12","3,159.50","3,151.32",917.48K,
2023-09-12,"3,243.97","3,247.04","3,243.42","3,234.65",258.17K,
2023-09-13,"3,383.61","3,389.88","3,396.27","3,376.48",11.83K,
2023-09-14,"3,334.06","3,334.96","3,329.77","3,324.52",92.37K,
2023-09-15,"3,363.00","3,367.66","3,362.19","3,355.26",412.75K,
2023-09-16,"2,926.02","2,920.76","2,938.08","2,916.85",985.26K,
2023-09-16,"3,002.77","3,010.32","3,009.66","2,993.79",389.19K,
2023-09-18,"3,080.50","3,084.56","3,079.19","3,070.79",211.91K,
2023-09-19,"3,235.25","3,230.98","3,235.10","3,227.11",146.92K,
2023-09-20,"3,292.51","3,283.41","3,303.44","3,283.53",855.73K,
2023-09-21,"2,967.93","2,966.35","2,976.09","2,962.28",929.57K,
2023-09-22,"3,106.16","3,101.16","3,109.20","3,100.75",556.00K,
2023-09-23,"3,374.34","3,382.37","3,375.19","3,369.29",262.04K,
2023-09-24,"2,939.85","2,944.02","2,939.19","2,930.42",151.39K,
2023-09-25,"3,047.22","3,056.11","3,058.15","3,038.73",404.32K,
2023-09-26,"3,405.09","3,402.73","3,408.56","3,398.78",43.73K,
2023-09-26,"3,214.23","3,221.42","3,210.23","3,208.31",443.00K,
2023-09-28,"3,058.77","3,060.07","3,073.56","3,050.80",949.49K,
2023-09-29,"3,113.99","3,111.35","3,126.52","3,107.03",632.43K,
2023-09-30,"2,919.82","2,916.42","2,917.62","2,913.42",896.81K,
2023-10-01,"3,193.73","3,198.54","3,197.20","3,184.96",931.79K,
2023-10-02,"3,195.85","3,193.30","3,199.84","3,190.19",918.39K,
2023-10-03,"2,975.19","2,980.05","2,975.35","2,969.81",459.90K,
2023-10-04,"3,272.12","3,274.22","3,272.28","3,266.80",161.82K,
2023-10-05,"2,958.94","2,952.14","2,968.54","2,953.04",111.56K,
2023-10-06,"3,109.67","3,102.66","3,107.53","3,101.37",420.92K,
2023-10-06,"2,880.03","2,876.44","2,893.22","2,870.57",66.94K,
2023-10-08,"3,151.53","3,145.80","3,161.57","3,144.83",122.05K,
2023-10-09,"3,064.35","3,073.98","3,071.81","3,059.06",103.55K,
2023-10-10,"3,044.17","3,041.87","3,057.79","3,039.01",487.37K,
2023-10-11,"3,172.04","3,171.42","3,171.41","3,163.66",974.44K,
2023-10-12,"2,929.68","2,935.83","2,940.75","2,922.56",805.47K,
2023-10-13,"3,392.10","3,393.85","3,388.51","3,383.64",749.38K,
2023-10-14,"2,919.31","2,916.39","2,924.01","2,909.69",173.04K,
2023-10-15,"3,304.41","3,298.21","3,304.40","3,297.91",656.22K,
2023-10-16,"3,383.24","3,374.15","3,393.35","3,377.71",126.92K,
2023-10-16,"3,087.37","3,091.68","3,094.64","3,080.23",477.07K,
2023-10-18,"3,362.70","3,359.77","3,376.22","3,354.60",851.81K,
2023-10-19,"3,299.44","3,305.60","3,308.88","3,289.63",706.71K,
2023-10-20,"3,151.86","3,149.20","3,150.46","3,142.28",717.42K,
2023-10-21,"2,883.27","2,888.82","2,885.05","2,878.10",186.92K,
2023-10-22,"3,022.44","3,017.13","3,023.38","3,015.70",418.37K,
2023-10-23,"3,075.79","3,077.84","3,073.77","3,066.99",723.13K,
2023-10-24,"2,915.50","2,919.58","2,915.54","2,906.84",773.53K,
2023-10-25,"3,129.57","3,131.66","3,128.39","3,123.58",509.03K,
2023-10-26,"3,300.95","3,294.23","3,307.67","3,291.84",504.54K,
2023-10-26,"3,205.50","3,206.09","3,207.98","3,197.43",112.65K,
2023-10-28,"3,049.44","3,048.97","3,052.55","3,039.92",212.47K,
2023-10-29,"3,375.33","3,383.38","3,388.97","3,366.69",984.98K,
2023-10-30,"3,006.38","3,011.13","3,018.48","2,998.84",31.99K,
2023-10-31,"3,131.63","3,123.49","3,126.92","3,123.67",196.82K,
2023-11-01,"3,042.15","3,037.27","3,054.65","3,032.24",267.22K,
2023-11-02,"2,955.80","2,963.39","2,960.16","2,946.27",48.15K,
2023-11-03,"3,261.68","3,259.84","3,268.89","3,252.23",682.89K,
2023-11-04,"3,167.00","3,157.44","3,176.67","3,160.29",160.32K,
2023-11-05,"2,923.33","2,927.11","2,937.89","2,915.02",181.44K,
2023-11-06,"3,262.85","3,256.12","3,274.41","3,256.58",82.17K,
2023-11-06,"2,939.83","2,940.50","2,950.58","2,932.47",878.57K,
2023-11-08,"3,207.25","3,208.58","3,207.39","3,200.92",363.82K,
2023-11-09,"3,071.36","3,077.96","3,069.53","3,061.46",118.99K,
2023-11-10,"3,144.94","3,149.81","3,140.83","3,135.05",366.94K,
2023-11-11,"2,915.79","2,909.52","2,921.54","2,906.56",316.70K,
2023-11-12,"2,970.71","2,966.36","2,985.29","2,962.86",757.63K,
2023-11-13,"3,313.70","3,311.49","3,311.17","3,307.06",298.94K,
2023-11-14,"3,152.48","3,147.22","3,149.10","3,142.48",409.21K,
2023-11-15,"3,041.02","3,042.34","3,044.73","3,032.41",980.72K,
2023-11-16,"2,917.76","2,917.68","2,913.93","2,911.34",488.44K,
2023-11-16,"2,986.75","2,985.07","2,983.00","2,978.25",155.97K,
2023-11-18,"3,009.77","3,007.00","3,015.82","3,003.31",4.69K,
2023-11-19,"3,204.69","3,211.90","3,212.37","3,196.25",276.23K,
2023-11-20,"3,384.05","3,380.84","3,392.21","3,374.23",124.93K,
2023-11-21,"3,108.67","3,112.74","3,107.94","3,099.45",448.18K,
2023-11-22,"3,155.23","3,157.50","3,168.05","3,149.60",777.96K,
2023-11-23,"3,333.30","3,324.08","3,336.88","3,327.50",55.03K,
2023-11-24,"2,993.00","3,002.99","3,004.03","2,984.22",408.71K,
2023-11-25,"3,148.75","3,155.64","3,144.20","3,139.47",385.89K,
2023-11-26,"3,402.17","3,408.18","3,405.95","3,392.47",336.39K,
2023-11-26,"3,106.44","3,104.14","3,105.94","3,097.72",854.20K,
2023-11-28,"3,490.48","3,497.90","3,497.59","3,481.35",527.74K,
2023-11-29,"3,089.29","3,095.30","3,093.92","3,081.12",642.11K,
2023-11-30,"3,370.00","3,379.27","3,368.31","3,360.57",408.18K,
2023-12-01,"3,325.42","3,321.00","3,327.43","3,319.87",941.60K,
2023-12-02,"3,346.98","3,350.27","3,345.96","3,339.91",873.50K,
2023-12-03,"3,128.77","3,118.93","3,138.94","3,122.42",185.35K,
2023-12-04,"3,317.09","3,320.62","3,314.97","3,310.10",947.74K,
2023-12-05,"3,376.43","3,371.01","3,390.43","3,366.53",710.47K,
2023-12-06,"3,094.14","3,099.99","3,090.44","3,085.71",510.48K,
2023-12-06,"2,889.27","2,886.62","2,892.52","2,879.93",611.09K,
2023-12-08,"3,152.10","3,157.20","3,159.23","3,142.19",310.73K,
2023-12-09,"3,026.44","3,017.31","3,037.57","3,017.31",59.14K,
2023-12-10,"3,021.35","3,016.63","3,034.81","3,011.38",567.88K,
2023-12-11,"2,918.72","2,926.18","2,927.58","2,913.65",282.74K,
2023-12-12,"3,259.74","3,260.03","3,257.71","3,254.53",568.38K,
2023-12-13,"3,359.14","3,360.60","3,357.31","3,353.10",96.86K,
2023-12-14,"3,251.86","3,256.55","3,256.08","3,243.04",735.02K,
2023-12-15,"2,976.44","2,984.47","2,988.70","2,967.38",896.70K,
2023-12-16,"3,351.18","3,350.85","3,357.29","3,345.39",459.20K,
2023-12-16,"3,440.78","3,448.09","3,451.73","3,433.57",772.26K,
2023-12-18,"2,938.08","2,934.50","2,936.26","2,931.02",641.21K,
2023-12-19,"3,433.95","3,424.42","3,433.94","3,424.13",64.59K,
2023-12-20,"2,890.00","2,893.97","2,887.67","2,884.77",177.24K,
2023-12-21,"3,449.26","3,440.82","3,461.51","3,442.97",500.60K,
2023-12-22,"3,215.92","3,206.88","3,213.03","3,207.74",571.12K,
2023-12-23,"3,195.68","3,189.27","3,205.85","3,188.27",193.27K,
2023-12-24,"3,381.65","3,380.44","3,378.60","3,372.43",364.11K,
2023-12-25,"3,151.04","3,146.04","3,155.08","3,145.24",543.60K,
2023-12-26,"3,099.15","3,095.28","3,110.83","3,091.43",703.89K,
2023-12-26,"3,233.15","3,242.56","3,237.38","3,225.19",712.81K,
2023-12-28,"3,078.93","3,080.32","3,078.91","3,072.22",100.32K,
2023-12-29,"3,289.62","3,285.32","3,285.77","3,282.42",75.84K,
2023-12-30,"3,183.03","3,178.59","3,182.68","3,177.11",75.27K,
2023-12-31,"3,118.68","3,116.69","3,120.00","3,110.44",621.93K,
2024-01-01,"3,172.69","3,179.94","3,180.63","3,165.69",632.62K,
2024-01-02,"3,370.67","3,380.36","3,380.54","3,363.83",672.35K,
